fra;jour;cage10;cl_age90;pop;P;T;Ti;Tp;Td
FR;13/05/2020;[00-10);9;7763205.5;13;1282;0.17;1.01;16.51
FR;14/05/2020;[00-10);9;7763205.5;19;1507;0.24;1.26;19.41
FR;15/05/2020;[00-10);9;7763205.5;16;2086;0.21;0.77;26.87
FR;16/05/2020;[00-10);9;7763205.5;10;899;0.13;1.11;11.58
FR;17/05/2020;[00-10);9;7763205.5;6;414;0.08;1.45;5.33
FR;18/05/2020;[00-10);9;7763205.5;35;2217;0.45;1.58;28.56
FR;19/05/2020;[00-10);9;7763205.5;21;2400;0.27;0.88;30.92
FR;20/05/2020;[00-10);9;7763205.5;27;2629;0.35;1.03;33.86
FR;21/05/2020;[00-10);9;7763205.5;8;651;0.1;1.23;8.39
FR;22/05/2020;[00-10);9;7763205.5;24;2429;0.31;0.99;31.29
FR;23/05/2020;[00-10);9;7763205.5;6;1090;0.08;0.55;14.04
FR;24/05/2020;[00-10);9;7763205.5;4;482;0.05;0.83;6.21
FR;25/05/2020;[00-10);9;7763205.5;16;2411;0.21;0.66;31.06
FR;26/05/2020;[00-10);9;7763205.5;29;2496;0.37;1.16;32.15
FR;27/05/2020;[00-10);9;7763205.5;23;2305;0.3;1;29.69
FR;28/05/2020;[00-10);9;7763205.5;20;2246;0.26;0.89;28.93
FR;29/05/2020;[00-10);9;7763205.5;28;2594;0.36;1.08;33.41
FR;30/05/2020;[00-10);9;7763205.5;15;1370;0.19;1.09;17.65
FR;31/05/2020;[00-10);9;7763205.5;6;590;0.08;1.02;7.6
FR;13/05/2020;[10-20);19;8336486;28;1689;0.34;1.66;20.26
FR;14/05/2020;[10-20);19;8336486;42;1910;0.5;2.2;22.91
FR;15/05/2020;[10-20);19;8336486;41;2367;0.49;1.73;28.39
FR;16/05/2020;[10-20);19;8336486;13;815;0.16;1.6;9.78
FR;17/05/2020;[10-20);19;8336486;4;297;0.05;1.35;3.56
FR;18/05/2020;[10-20);19;8336486;49;2509;0.59;1.95;30.1
FR;19/05/2020;[10-20);19;8336486;44;2649;0.53;1.66;31.78
FR;20/05/2020;[10-20);19;8336486;59;2913;0.71;2.03;34.94
FR;21/05/2020;[10-20);19;8336486;12;481;0.14;2.49;5.77
FR;22/05/2020;[10-20);19;8336486;39;2857;0.47;1.37;34.27
FR;23/05/2020;[10-20);19;8336486;29;1126;0.35;2.58;13.51
FR;24/05/2020;[10-20);19;8336486;22;428;0.26;5.14;5.13
FR;25/05/2020;[10-20);19;8336486;46;3003;0.55;1.53;36.02
FR;26/05/2020;[10-20);19;8336486;47;3341;0.56;1.41;40.08
FR;27/05/2020;[10-20);19;8336486;45;2905;0.54;1.55;34.85
FR;28/05/2020;[10-20);19;8336486;52;2819;0.62;1.84;33.82
FR;29/05/2020;[10-20);19;8336486;42;3064;0.5;1.37;36.75
FR;30/05/2020;[10-20);19;8336486;29;1336;0.35;2.17;16.03
FR;31/05/2020;[10-20);19;8336486;25;559;0.3;4.47;6.71
FR;13/05/2020;[20-30);29;7476787;105;4675;1.4;2.25;62.53
FR;14/05/2020;[20-30);29;7476787;116;5275;1.55;2.2;70.55
FR;15/05/2020;[20-30);29;7476787;134;5962;1.79;2.25;79.74
FR;16/05/2020;[20-30);29;7476787;37;1923;0.49;1.92;25.72
FR;17/05/2020;[20-30);29;7476787;17;628;0.23;2.71;8.4
FR;18/05/2020;[20-30);29;7476787;125;6252;1.67;2;83.62
FR;19/05/2020;[20-30);29;7476787;115;6861;1.54;1.68;91.76
FR;20/05/2020;[20-30);29;7476787;116;6817;1.55;1.7;91.18
FR;21/05/2020;[20-30);29;7476787;25;1004;0.33;2.49;13.43
FR;22/05/2020;[20-30);29;7476787;117;6098;1.56;1.92;81.56
FR;23/05/2020;[20-30);29;7476787;31;2233;0.41;1.39;29.87
FR;24/05/2020;[20-30);29;7476787;25;713;0.33;3.51;9.54
FR;25/05/2020;[20-30);29;7476787;84;6231;1.12;1.35;83.34
FR;26/05/2020;[20-30);29;7476787;98;7082;1.31;1.38;94.72
FR;27/05/2020;[20-30);29;7476787;84;5896;1.12;1.42;78.86
FR;28/05/2020;[20-30);29;7476787;102;5717;1.36;1.78;76.46
FR;29/05/2020;[20-30);29;7476787;84;6016;1.12;1.4;80.46
